id,schema_version,country_code,status,source_id,as_of,definition,layer,license,missing_reason,notes,source_locator,value
DEN-AE-COUNTRY-SCOPE,1.0.0,AE,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry AE,1
DEN-BH-COUNTRY-SCOPE,1.0.0,BH,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry BH,1
DEN-DJ-COUNTRY-SCOPE,1.0.0,DJ,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry DJ,1
DEN-DZ-COUNTRY-SCOPE,1.0.0,DZ,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry DZ,1
DEN-EG-COUNTRY-SCOPE,1.0.0,EG,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry EG,1
DEN-IQ-COUNTRY-SCOPE,1.0.0,IQ,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry IQ,1
DEN-JO-COUNTRY-SCOPE,1.0.0,JO,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry JO,1
DEN-KM-COUNTRY-SCOPE,1.0.0,KM,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry KM,1
DEN-KW-COUNTRY-SCOPE,1.0.0,KW,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry KW,1
DEN-LB-COUNTRY-SCOPE,1.0.0,LB,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",ISO alpha-2 entry LB,1
